value	namei	namej
0.268578437323754	Hydroxy acids and derivatives	Very long-chain fatty acids
0.267662648155582	Phosphatidylethanolamines	Cholesteryl esters
0.265632886751966	Benzopyrans	Alpha amino acids
0.264312337794494	N-acyl-alpha amino acids	Lineolic acids and derivatives
0.263201660823912	Keto acids and derivatives	Thiazoles
0.263021688366786	O-glycosyl compounds	Imidazopyrimidines
0.262941490905603	L-alpha-amino acids	Benzopyrans
0.261894664005887	1-acyl-sn-glycero-3-phosphocholines	Cholesteryl esters
0.261800259221017	Glutamine and derivatives	Phosphatidylethanolamines
0.257107669082891	Bile acids, alcohols and derivatives	Phenolic glycosides
0.253760907816599	Coumarins and derivatives	Purine nucleosides
0.253539257849283	Bile acids, alcohols and derivatives	Coumarins and derivatives
0.252013828544447	Sphingolipids	Amino acids, peptides, and analogues
0.249975687358051	Quinolines and derivatives	Phenolic glycosides
0.248950407003492	1-acyl-sn-glycero-3-phosphoethanolamines	1-monoacylglycerols
0.248149776854791	Coumarins and derivatives	Benzoic acid esters
0.247087726311655	Coumarins and derivatives	1-monoacylglycerols
0.245706070191042	Monoterpenoids	Long-chain fatty acids
0.245381019512059	1-acyl-sn-glycero-3-phosphoethanolamines	Amino acids, peptides, and analogues
0.244846032148191	Sphingolipids	1-monoacylglycerols
0.244762991006796	Hydroxy acids and derivatives	Phenol ethers
0.243443706954089	Phenol ethers	Acyclic diterpenoids
0.23832516356312	Carboximidic acids and derivatives	Ketones
0.235839059916503	Ergosterols and derivatives	Imidazopyrimidines
0.232198002411496	L-alpha-amino acids	Peptidomimetics
0.231340536182536	1-monoacylglycerols	Thiazoles
0.22930645858728	Dicarboxylic acids and derivatives	Benzopyrans
0.229121402657819	Organic sulfuric acids and derivatives	Acyl carnitines
0.228376138183541	Dicarboxylic acids and derivatives	L-alpha-amino acids
0.227418946475164	Ergosterols and derivatives	Pyridines and derivatives
0.227173393070595	Hydroxy acids and derivatives	Amino acids, peptides, and analogues
0.226811947258579	1-acyl-sn-glycero-3-phosphocholines	Amino acids, peptides, and analogues
0.22676142983856	L-alpha-amino acids	Indoles and derivatives
0.226382918884203	Bile acids, alcohols and derivatives	Azolidines
0.225603773509845	Peptidomimetics	Peptides
0.225576567395204	Ergosterols and derivatives	Cholesteryl esters
0.225259509740868	Beta-diketones	Imidazopyrimidines
0.225141584370888	Organic sulfuric acids and derivatives	Ketones
0.225061805111527	Hydroxy acids and derivatives	Cholesteryl esters
0.224238013167599	Medium-chain fatty acids	Fatty acid esters
0.222980502229366	Annonaceous acetogenins	Triterpenoids
0.221785714603653	Ergosterols and derivatives	Annonaceous acetogenins
0.219329199293196	Coumarins and derivatives	Hydroxybenzoic acid derivatives
0.219303219241928	Annonaceous acetogenins	Cholesteryl esters
0.218774111316108	Monoterpenoids	Acyclic diterpenoids
0.218397608990092	Carboximidic acids and derivatives	Benzoic acids and derivatives
0.216319441706605	Coumarins and derivatives	Isoflavonoids
0.216253138332505	Sulfated steroids	Diazines
0.215944449416137	Dipeptides	Peptides
0.21552282451116	Dicarboxylic acids and derivatives	Thiazoles
0.215372303321967	1-acyl-sn-glycero-3-phosphoethanolamines	Glutamine and derivatives
0.21479228571022	Ketones	1,3-diacylglycerols
0.214526312178711	Phenolic glycosides	Thiazoles
0.21276086558072	1-acyl-sn-glycero-3-phosphoethanolamines	Peptidomimetics
0.212197864875598	Benzopyrans	Diterpenoids
0.2111349234789	1,3-diacylglycerols	Sesquiterpenoids
0.210901090920261	Tetrahydroisoquinolines	Phenols
0.210880952308006	L-alpha-amino acids	Phosphatidylethanolamines
0.210535178676802	Benzene and substituted derivatives	N-acyl-alpha amino acids
0.209962502420904	1-acyl-sn-glycero-3-phosphocholines	Peptidomimetics
0.20995215270306	Imidazopyrimidines	Diazines
0.208550119400789	Purine nucleosides	Long-chain fatty alcohols
0.208520846355709	Hydroxybenzoic acid derivatives	O-glycosyl compounds
0.208026965092739	1-acyl-sn-glycero-3-phosphocholines	Phosphatidylcholines
0.206422413555263	Tricarboxylic acids and derivatives	Hydroxycinnamic acids and derivatives
0.206041560746854	L-alpha-amino acids	Alpha amino acids
0.205994022537747	Sphingolipids	Peptides
0.205419557986462	Ergosterols and derivatives	Medium-chain fatty acids
0.205368720041168	Hydroxycinnamic acids and derivatives	Amino acids, peptides, and analogues
0.205291844526264	Stigmastanes and derivatives	Thiazoles
0.205214218213797	Bile acids, alcohols and derivatives	1-acyl-sn-glycero-3-phosphoethanolamines
0.20397008071961	Coumarins and derivatives	Sesquiterpenoids
0.203781614419596	Dipeptides	Thiazoles
0.203425556005389	Peptides	Phosphatidylcholines
0.203089950102151	Hydroxycinnamic acids and derivatives	Fatty amides
0.202943741786381	Indoles and derivatives	Amino acids, peptides, and analogues
0.202214288481213	Benzoic acids and derivatives	Isoflavonoids
0.1997023139998	Phosphatidylethanolamines	Amino acids, peptides, and analogues
0.198314836694201	Tricarboxylic acids and derivatives	Coumarins and derivatives
0.197379701320401	Fatty acids and conjugates	Thiazoles
0.196314737228321	Cholesterols and derivatives	Hydroxycinnamic acids and derivatives
0.196168975282095	Bile acids, alcohols and derivatives	Tricarboxylic acids and derivatives
0.195532248659405	1,3-diacylglycerols	Acyl carnitines
0.195300249890046	Very long-chain fatty acids	Peptidomimetics
0.195197313982528	Benzoic acid esters	Keto acids and derivatives
0.195101238918231	Bile acids, alcohols and derivatives	Alpha amino acids
0.194213931461882	Ergosterols and derivatives	Indoles and derivatives
0.193933263689551	Azoles	Imidazopyrimidines
0.193915680935919	Coumarins and derivatives	Fatty acids and conjugates
0.193729611105294	L-alpha-amino acids	Coumarins and derivatives
0.19309164742026	1-monoacylglycerols	Cholesteryl esters
